"","choice","income_2.5","income_7.5","income_12.5","income_17.5","income_22.5","income_27.5","income_32.5","income_37.5","income_42.5","income47.5","income_55","income_67.5","income_87.5","income_130"
"1","1","0.38","0.396610169491525","0.395959595959596","0.469719350073855","0.34638196915777","0.409663865546218","0.380692167577413","0.473118279569892","0.412541254125413","0.441489361702128","0.233830845771144","0.37254902","0.24324324","0.19230769"
"3","2","0.08","0.183050847457627","0.214141414141414","0.147710487444609","0.145907473309609","0.197478991596639","0.153005464480874","0.121863799283154","0.108910891089109","0.117021276595745","0.149253731343284","0.07843137","0.27027027","0.03846154"
"4","3","0","0.0440677966101695","0.0828282828282828","0.0398818316100443","0.0403321470937129","0.0189075630252101","0.0510018214936248","0.0609318996415771","0.108910891089109","0.122340425531915","0.054726368159204","0.01960784","0.08108108","0.11538462"
"5","4","0.04","0.115254237288136","0.0888888888888889","0.163958641063516","0.182680901542112","0.140756302521008","0.116575591985428","0.103942652329749","0.0759075907590759","0.0851063829787234","0.159203980099502","0.15686275","0.02702703","0.30769231"
"6","5","0.12","0.0644067796610169","0.0464646464646465","0.0310192023633678","0.145907473309609","0.0378151260504202","0.0983606557377049","0.0824372759856631","0.0198019801980198","0.0372340425531915","0.0348258706467662","0.11764706","0","0.07692308"
"7","6","0","0.00677966101694915","0.0181818181818182","0.00738552437223043","0.00237247924080664","0.0126050420168067","0.00728597449908925","0.003584229390681","0.066006600660066","0.0904255319148936","0.0149253731343284","0.03921569","0.02702703","0.07692308"
"8","7","0.32","0.0915254237288136","0.0808080808080808","0.0797636632200886","0.0486358244365362","0.0504201680672269","0.0892531876138433","0.0537634408602151","0.0891089108910891","0.0319148936170213","0.0597014925373134","0.1372549","0.02702703","0"
"9","8","0.02","0.0203389830508475","0.0161616161616162","0.0280649926144756","0.0427046263345196","0.0525210084033613","0.034608378870674","0.0501792114695341","0.0693069306930693","0.0478723404255319","0.208955223880597","0.05882353","0","0"
"10","9","0.04","0.0745762711864407","0.0505050505050505","0.0295420974889217","0.0355871886120996","0.0714285714285714","0.0601092896174863","0.032258064516129","0.0462046204620462","0.0106382978723404","0.0845771144278607","0","0.32432432","0.19230769"
"2","10","0","0.00338983050847458","0.00606060606060606","0.00295420974889217","0.00948991696322657","0.00840336134453781","0.00910746812386157","0.017921146953405","0.0033003300330033","0.0159574468085106","0","0.01960784","0","0"
